Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Geoxus_valdivianus,Rodentia,Cricetidae,1.6004283257321312,1.4983105537896004,density
Gerbilliscus_kempi,Rodentia,Muridae,2.8076567758102207,2.0043213737826426,density
Gerbilliscus_leucogaster,Rodentia,Muridae,2.218377933291753,1.8621313793130372,density
Gerbillurus_paeba,Rodentia,Muridae,2.9379189026477803,1.3673559210260189,density
Gerbillurus_tytonis,Rodentia,Muridae,3.230448921378274,1.4913616938342726,density
Eudorcas_rufifrons,Cetartiodactyla,Bovidae,0.1931245983544616,4.43136054715091,density
Gulo_gulo,Carnivora,Mustelidae,-2.101486314284163,4.230770691000255,density
Gymnobelideus_leadbeateri,Diprotodontia,Petauridae,2.412057146690156,2.103803720955957,density
Hapalemur_griseus,Primates,Lemuridae,1.792391689498254,2.9542425094393248,density
Heliophobius_argenteocinereus,Rodentia,Bathyergidae,3.7634279935629373,2.2576785748691846,density
Herpestes_javanicus,Carnivora,Herpestidae,1.5975855017522047,2.8750612633917,density
Felis_silvestris,Carnivora,Felidae,-0.44369749923271273,3.7403626894942437,density
Fossa_fossana,Carnivora,Eupleridae,0.5327543789924978,3.1760912590556813,density
Funisciurus_congicus,Rodentia,Sciuridae,3,2.0492180226701815,density
Sciurocheirus_alleni,Primates,Galagidae,1.2166935991697543,2.5217916496391233,density
Galagoides_demidoff,Primates,Galagidae,1.7601962294551339,1.7788744720027396,density
Galago_moholi,Primates,Galagidae,2.235629433882054,2.2041199826559246,density
Galago_senegalensis,Primates,Galagidae,1.953131225183445,2.3573630306151427,density
Giraffa_camelopardalis,Cetartiodactyla,Giraffidae,0.08990511143939793,5.954240000175069,density
Glaucomys_sabrinus,Rodentia,Sciuridae,1.934144811792477,2.220108088040055,density
Glaucomys_volans,Rodentia,Sciuridae,2.65088037501151,1.8055008581584002,density
Glis_glis,Rodentia,Gliridae,3.4771212547196626,2.0969100130080562,density
Gorilla_gorilla,Primates,Hominidae,-0.22914798835785583,5.082605872697899,density
Graphiurus_murinus,Rodentia,Gliridae,1.7356787259059046,1.4771212547196624,density
Grammomys_dolichurus,Rodentia,Muridae,2.3152984528736242,1.6148972160331345,density
Hemibelideus_lemuroides,Diprotodontia,Pseudocheiridae,2.845098040014257,2.978864984347657,density
Hippocamelus_antisensis,Cetartiodactyla,Cervidae,0.07918124604762482,4.8363203171961295,density
Hippocamelus_bisulcus,Cetartiodactyla,Cervidae,0.04921802267018165,4.8450999012723335,density
Hippopotamus_amphibius,Cetartiodactyla,Hippopotamidae,0.6866362692622934,6.151520003748268,density
Hippotragus_equinus,Cetartiodactyla,Bovidae,-0.017728766960431602,5.431360064597643,density
Hippotragus_niger,Cetartiodactyla,Bovidae,0.11394335230683679,5.356980064700362,density
Parahyaena_brunnea,Carnivora,Hyaenidae,-2,4.507859917898863,density
Hybomys_trivirgatus,Rodentia,Muridae,1.9063350418050906,1.7551122663950711,density
Hydrochoerus_hydrochaeris,Rodentia,Caviidae,2.098089690363952,4.7955296609911935,density
Hyemoschus_aquaticus,Cetartiodactyla,Tragulidae,1.2000292665537702,4.035429738184549,density
Hylobates_agilis,Primates,Hylobatidae,1.0692980121155293,3.7520484478194387,density
Hylobates_klossii,Primates,Hylobatidae,1.2206310194480923,3.7634279935629373,density
Hylobates_lar,Primates,Hylobatidae,0.8195439355418687,3.689486448364248,density
Lemmiscus_curtatus,Rodentia,Cricetidae,2.770793120262041,1.4517864355242902,density
Marmosa_murina,Didelphimorphia,Didelphidae,1.7466341989375787,1.414973347970818,density
Marmosa_robinsoni,Didelphimorphia,Didelphidae,2.276530734334789,1.7535830588929067,density
Marmosops_fuscatus,Didelphimorphia,Didelphidae,1.9472866446777983,1.7781512503836436,density
Hylobates_moloch,Primates,Hylobatidae,0.7909884750888159,3.8129133566428557,density
Hylobates_muelleri,Primates,Hylobatidae,1.0086001717619175,3.7781512503836434,density
Hylobates_pileatus,Primates,Hylobatidae,1.3747483460101038,3.73559889969818,density
Hylochoerus_meinertzhageni,Cetartiodactyla,Suidae,0.17609125905568124,5.275311354541811,density
Hylomys_suillus,Eulipotyphla,Erinaceidae,2.1949858434258807,1.8182258936139555,density
Hypogeomys_antimena,Rodentia,Nesomyidae,1.8016094880273188,3.0969100130080562,density
Hypsiprymnodon_moschatus,Diprotodontia,Hypsiprymnodontidae,2.3801931457311913,2.716003343634799,density
Hystrix_indica,Rodentia,Hystricidae,0.7084209001347127,4.094673728842782,density
Ichneumia_albicauda,Carnivora,Herpestidae,0.568201724066995,3.5440680443502757,density
Idiurus_macrotis,Rodentia,Anomaluridae,2.5731385996049783,1.4771212547196624,density
Indri_indri,Primates,Indriidae,1.0261245167454502,3.9030899869919438,density
Irenomys_tarsalis,Rodentia,Cricetidae,2.459196407798106,1.6354837468149122,density
Isoodon_auratus,Peramelemorphia,Peramelidae,2.2385478876813276,2.6283889300503116,density
Isoodon_macrourus,Peramelemorphia,Peramelidae,1.845098040014257,3.2041199826559246,density
Isoodon_obesulus,Peramelemorphia,Peramelidae,1.6020599913279623,2.88930170250631,density
Kobus_ellipsiprymnus,Cetartiodactyla,Bovidae,0.39093510710337914,5.3222199151541645,density
Kobus_kob,Cetartiodactyla,Bovidae,0.414973347970818,4.894870209986278,density
Kobus_leche,Cetartiodactyla,Bovidae,1.4913616938342726,5.044339813482533,density
Kobus_megaceros,Cetartiodactyla,Bovidae,-0.46852108295774486,4.9420100383639785,density
Kobus_vardonii,Cetartiodactyla,Bovidae,0.6794278966121189,4.854310293614356,density
Lagidium_viscacia,Rodentia,Chinchillidae,0.2041199826559248,3.187520720836463,density
Lagorchestes_conspicillatus,Diprotodontia,Macropodidae,1.6231458746379397,3.484299839346786,density
Lagorchestes_hirsutus,Diprotodontia,Macropodidae,1.2583978040955086,3.1020905255118367,density
Phataginus_tricuspis,Pholidota,Manidae,1.646207612206685,3.31527743947181,density
Meriones_persicus,Rodentia,Muridae,2.1233942481055306,2,density
Monodelphis_brevicaudata,Didelphimorphia,Didelphidae,1.6973165417323834,1.842609239610562,density
